method,seed,K,group,slot_count,slot_ratio,unique_recommended_apis,group_catalog_size,group_catalog_coverage
Popularity,0,5,Head,8225,1.0,5,280,0.017857142857142856
Popularity,0,5,Middle,0,0.0,0,420,0.0
Popularity,0,5,Tail,0,0.0,0,697,0.0
Popularity,0,5,Unseen,0,0.0,0,250,0.0
Popularity,0,10,Head,16450,1.0,10,280,0.03571428571428571
Popularity,0,10,Middle,0,0.0,0,420,0.0
Popularity,0,10,Tail,0,0.0,0,697,0.0
Popularity,0,10,Unseen,0,0.0,0,250,0.0
Popularity,1,5,Head,8225,1.0,5,280,0.017857142857142856
Popularity,1,5,Middle,0,0.0,0,420,0.0
Popularity,1,5,Tail,0,0.0,0,697,0.0
Popularity,1,5,Unseen,0,0.0,0,250,0.0
Popularity,1,10,Head,16450,1.0,10,280,0.03571428571428571
Popularity,1,10,Middle,0,0.0,0,420,0.0
Popularity,1,10,Tail,0,0.0,0,697,0.0
Popularity,1,10,Unseen,0,0.0,0,250,0.0
Popularity,2,5,Head,8225,1.0,5,280,0.017857142857142856
Popularity,2,5,Middle,0,0.0,0,420,0.0
Popularity,2,5,Tail,0,0.0,0,697,0.0
Popularity,2,5,Unseen,0,0.0,0,250,0.0
Popularity,2,10,Head,16450,1.0,10,280,0.03571428571428571
Popularity,2,10,Middle,0,0.0,0,420,0.0
Popularity,2,10,Tail,0,0.0,0,697,0.0
Popularity,2,10,Unseen,0,0.0,0,250,0.0
Graph-only,0,5,Head,8225,1.0,5,280,0.017857142857142856
Graph-only,0,5,Middle,0,0.0,0,420,0.0
Graph-only,0,5,Tail,0,0.0,0,697,0.0
Graph-only,0,5,Unseen,0,0.0,0,250,0.0
Graph-only,0,10,Head,16450,1.0,10,280,0.03571428571428571
Graph-only,0,10,Middle,0,0.0,0,420,0.0
Graph-only,0,10,Tail,0,0.0,0,697,0.0
Graph-only,0,10,Unseen,0,0.0,0,250,0.0
Graph-only,1,5,Head,8225,1.0,5,280,0.017857142857142856
Graph-only,1,5,Middle,0,0.0,0,420,0.0
Graph-only,1,5,Tail,0,0.0,0,697,0.0
Graph-only,1,5,Unseen,0,0.0,0,250,0.0
Graph-only,1,10,Head,16450,1.0,11,280,0.039285714285714285
Graph-only,1,10,Middle,0,0.0,0,420,0.0
Graph-only,1,10,Tail,0,0.0,0,697,0.0
Graph-only,1,10,Unseen,0,0.0,0,250,0.0
Graph-only,2,5,Head,8225,1.0,5,280,0.017857142857142856
Graph-only,2,5,Middle,0,0.0,0,420,0.0
Graph-only,2,5,Tail,0,0.0,0,697,0.0
Graph-only,2,5,Unseen,0,0.0,0,250,0.0
Graph-only,2,10,Head,16450,1.0,10,280,0.03571428571428571
Graph-only,2,10,Middle,0,0.0,0,420,0.0
Graph-only,2,10,Tail,0,0.0,0,697,0.0
Graph-only,2,10,Unseen,0,0.0,0,250,0.0
BGE-only,0,5,Head,1906,0.2317325227963526,241,280,0.8607142857142858
BGE-only,0,5,Middle,2419,0.2941033434650456,318,420,0.7571428571428571
BGE-only,0,5,Tail,2845,0.3458966565349544,511,697,0.733142037302726
BGE-only,0,5,Unseen,1055,0.12826747720364742,189,250,0.756
BGE-only,0,10,Head,3647,0.22170212765957448,266,280,0.95
BGE-only,0,10,Middle,4839,0.29416413373860184,364,420,0.8666666666666667
BGE-only,0,10,Tail,5885,0.3577507598784195,604,697,0.866571018651363
BGE-only,0,10,Unseen,2079,0.12638297872340426,230,250,0.92
BGE-only,1,5,Head,1906,0.2317325227963526,241,280,0.8607142857142858
BGE-only,1,5,Middle,2419,0.2941033434650456,318,420,0.7571428571428571
BGE-only,1,5,Tail,2845,0.3458966565349544,511,697,0.733142037302726
BGE-only,1,5,Unseen,1055,0.12826747720364742,189,250,0.756
BGE-only,1,10,Head,3647,0.22170212765957448,266,280,0.95
BGE-only,1,10,Middle,4839,0.29416413373860184,364,420,0.8666666666666667
BGE-only,1,10,Tail,5885,0.3577507598784195,604,697,0.866571018651363
BGE-only,1,10,Unseen,2079,0.12638297872340426,230,250,0.92
BGE-only,2,5,Head,1906,0.2317325227963526,241,280,0.8607142857142858
BGE-only,2,5,Middle,2419,0.2941033434650456,318,420,0.7571428571428571
BGE-only,2,5,Tail,2845,0.3458966565349544,511,697,0.733142037302726
BGE-only,2,5,Unseen,1055,0.12826747720364742,189,250,0.756
BGE-only,2,10,Head,3647,0.22170212765957448,266,280,0.95
BGE-only,2,10,Middle,4839,0.29416413373860184,364,420,0.8666666666666667
BGE-only,2,10,Tail,5885,0.3577507598784195,604,697,0.866571018651363
BGE-only,2,10,Unseen,2079,0.12638297872340426,230,250,0.92
Graph+BGE,0,5,Head,8188,0.9955015197568389,131,280,0.46785714285714286
Graph+BGE,0,5,Middle,34,0.004133738601823709,19,420,0.04523809523809524
Graph+BGE,0,5,Tail,3,0.000364741641337386,3,697,0.00430416068866571
Graph+BGE,0,5,Unseen,0,0.0,0,250,0.0
Graph+BGE,0,10,Head,16353,0.9941033434650456,166,280,0.5928571428571429
Graph+BGE,0,10,Middle,93,0.005653495440729483,36,420,0.08571428571428572
Graph+BGE,0,10,Tail,4,0.00024316109422492402,4,697,0.005738880918220947
Graph+BGE,0,10,Unseen,0,0.0,0,250,0.0
Graph+BGE,1,5,Head,8204,0.9974468085106383,122,280,0.4357142857142857
Graph+BGE,1,5,Middle,20,0.0024316109422492403,9,420,0.02142857142857143
Graph+BGE,1,5,Tail,1,0.00012158054711246201,1,697,0.0014347202295552368
Graph+BGE,1,5,Unseen,0,0.0,0,250,0.0
Graph+BGE,1,10,Head,16377,0.9955623100303952,151,280,0.5392857142857143
Graph+BGE,1,10,Middle,71,0.004316109422492402,31,420,0.07380952380952381
Graph+BGE,1,10,Tail,2,0.00012158054711246201,2,697,0.0028694404591104736
Graph+BGE,1,10,Unseen,0,0.0,0,250,0.0
Graph+BGE,2,5,Head,8091,0.98370820668693,178,280,0.6357142857142857
Graph+BGE,2,5,Middle,127,0.015440729483282675,34,420,0.08095238095238096
Graph+BGE,2,5,Tail,7,0.000851063829787234,6,697,0.00860832137733142
Graph+BGE,2,5,Unseen,0,0.0,0,250,0.0
Graph+BGE,2,10,Head,16161,0.9824316109422493,200,280,0.7142857142857143
Graph+BGE,2,10,Middle,282,0.017142857142857144,49,420,0.11666666666666667
Graph+BGE,2,10,Tail,7,0.000425531914893617,6,697,0.00860832137733142
Graph+BGE,2,10,Unseen,0,0.0,0,250,0.0
