case_type,case_label,mashup_id,mashup_name,api_id,api_name,api_group,train_frequency,api_description,shared_keywords,bge_only_consensus_rank,bge_only_seed_appearances,graph_bge_consensus_rank,graph_bge_seed_appearances,inductive_lightgcn_consensus_rank,inductive_lightgcn_seed_appearances,scf_lightgcn_bge_consensus_rank,scf_lightgcn_bge_seed_appearances
middle_rescue,Middle API 语义协同补救案例,6361,Rentals By Owner Canada,624,Google Maps,Head,1898,google-maps api longer available google map service split multiple apis including static map api street view image api direction apis distance matrix api elevation api geocoding api geolocation api place api road api time zone apithis page maintained purely historical research purposesthe google map api allow embedding google map onto web page outside developer using simple javascript interface flash interface designed work mobile device well traditional desktop browser application api includes language localization 50 language region localization geocoding ha mechanism enterprise developer want utilize google map api within intranet api http service accessed secure http connection google map api premier customer mapping viewer,mapping,,0,1.0,3,1.0,3,1.0,3
middle_rescue,Middle API 语义协同补救案例,6361,Rentals By Owner Canada,417,Geocoder.ca,Middle,4,geocoder.ca strive provide reliable accurate geocoding service canada usa using xml port integrate geocoding functionality application real time currently provide forward reverse geocoding street address postalzip code street intersection usa canada mapping,"mapping, canada",9.0,3,,0,,0,3.0,3
tail_rescue,Tail API 语义协同补救案例,5242,Fix It Repair Guides Android,1385,Ifixit,Tail,1,ifixit ifixit api provides programmatic access ifixit enabling anyone write application utility top repair database ifixit world largest collection free photographic repair manual api provides access ifixits repair manual stepbystep guide device namespace page device area hierarchy doe yet provide access part answer qampa database api us restful protocol response formatted json jsonp xml underlying xml schema returned via api ieee 1874 omanual httpwwwomanualorg learn format omanualorg ifixitcom powered dozuki platform httpwwwdozukicom documentation engine visual instruction feature fullblown api implementation reference,"device, repair, guide",1.0,3,,0,,0,2.0,3
unseen_rescue,训练交互未见 API 零样式补救案例,5544,Get Digitalhealth Patient Generated Health Data Pilots,29,Gethealth,Unseen,0,gethealth gethealth unified restful api access health data wearable device allows user integrate source like dailymile fatsecret fitbit google fit jawbone lifefitness mapmyfitness mapmyrun mapmywalk microsoft health misfit move predicctbgl runkeeper strava sony lifelog withings 23andme also allows integration medical device api call available activity diabetes weight nutrition sleep genotype furthermore eas user authentication process source singlesign api call also normalizes data across multiple source provides unified data structure healthcare fitness wearable applications,"applications, healthcare, wearable, device, health",1.0,3,,0,,0,1.0,3
complex_failure,复杂多 API 失败案例,4799,Esync Dashboard,485,Shopify Admin,Head,7,shopify-admin use shopifys robust ecommerce apis create apps 500000 merchant 35 endpoint detailed sdks tutorial access dedicated api developer support business merchants ecommerce,"ecommerce, apis",,0,,0,,0,,0
complex_failure,复杂多 API 失败案例,4799,Esync Dashboard,832,Magento Soap,Head,6,magento-soap magento featurerich professional opensource ecommerce solution offer merchant complete flexibility control look content functionality online store magento soap api give user access functionality exportimport customercustomer address retrieve country region api support soap xml rpc protocol api permission based allows access customer catalog order module magento ecommerce,ecommerce,,0,,0,,0,,0
complex_failure,复杂多 API 失败案例,4799,Esync Dashboard,427,Woocommerce,Middle,2,woocommerce woocommerce wordpress ecommerce plugin different feature built website development woocommerce api let developer integrate feature wordpress website data json format plugins blogging ecommerce,ecommerce,,0,,0,,0,,0
complex_failure,复杂多 API 失败案例,4799,Esync Dashboard,1534,Bigcommerce,Middle,5,bigcommerce bigcommerce online ecommerce service used power online store bigcommerce contains restful api allows remote retrieval customer order product via xml web service api allows request made search data retrieve particular entry database one supported data type business ecommerce,"ecommerce, used",,0,,0,,0,,0
complex_failure,复杂多 API 失败案例,4799,Esync Dashboard,1028,Revel Systems,Unseen,0,revel-systems revel system pointofsale po solution ipad web mobile revel system po system work application provides customized report revel system api allows developer access integrate functionality revel application example api method include managing account managing item managing payment sales customer-relationship-management restaurants reporting ecommerce,"management, ecommerce, mobile",,0,,0,,0,,0
complex_failure,复杂多 API 失败案例,4799,Esync Dashboard,1304,Lightspeed Retail,Unseen,0,lightspeed-retail lightspeed retail api allows developer integrate lightspeed retail system application enabling user access everything available within account lightspeed company provides business way manage inventory sell online connect supplier engage customer inventory sales engagement products ecommerce,"ecommerce, company, manage",,0,,0,,0,,0
