method,eligible_mashups,Recall@5,NDCG@5,HitRate@5,MAP@5,Recall@10,NDCG@10,HitRate@10,MAP@10,method_key,seed
Graph-only,1645,0.3920582599117402,0.3602112312970266,0.5458966565349544,0.3107272880783518,0.4794346570359218,0.3895539147582388,0.6474164133738601,0.3217475870174713,graph_only,0
Graph-only,1645,0.3920582599117402,0.3594321357016013,0.5458966565349544,0.3098118878757174,0.4868701428604652,0.3914239722684229,0.6504559270516718,0.3223131402679273,graph_only,1
Graph-only,1645,0.3920582599117402,0.3601505512698909,0.5458966565349544,0.3105601148260722,0.4776667520971177,0.3886636881435076,0.6443768996960486,0.3212397088070845,graph_only,2
BGE-only,1645,0.2545390463877858,0.2213679041862307,0.3434650455927052,0.1904020601148261,0.3151822835963725,0.2434907500101986,0.4261398176291793,0.199414391051929,bge_only,0
BGE-only,1645,0.2545390463877858,0.2213679041862307,0.3434650455927052,0.1904020601148261,0.3151822835963725,0.2434907500101986,0.4261398176291793,0.199414391051929,bge_only,1
BGE-only,1645,0.2545390463877858,0.2213679041862307,0.3434650455927052,0.1904020601148261,0.3151822835963725,0.2434907500101986,0.4261398176291793,0.199414391051929,bge_only,2
"Graph+BGE (z-score, λ=0.25)",1645,0.5808005567114306,0.5558989747666809,0.7513677811550152,0.4989336372847024,0.6476257631888236,0.5794438231066245,0.8012158054711246,0.5101190984499175,graph_bge_zscore,0
"Graph+BGE (z-score, λ=0.25)",1645,0.5749337582735612,0.5552384209898363,0.7471124620060791,0.499253630530227,0.6378157874589191,0.5763849801723114,0.7969604863221884,0.5084936335054119,graph_bge_zscore,1
"Graph+BGE (z-score, λ=0.25)",1645,0.5608488451335794,0.4928709268921979,0.7325227963525835,0.4246320499831146,0.6404397325610193,0.5214924761296035,0.7993920972644377,0.4380118927003432,graph_bge_zscore,2
