comparison,metric,mean_difference,ci_95_low,ci_95_high,bootstrap_probability_positive,bootstrap_samples
Graph+BGE vs Popularity,Recall@5,0.1801361267944497,0.16245684811807642,0.19794358760135175,1.0,10000
Graph+BGE vs Popularity,NDCG@5,0.17445820958588068,0.1577088899781867,0.19133838345711107,1.0,10000
Graph+BGE vs Popularity,MAP@5,0.16354581785432848,0.14650107368006302,0.18053184594168636,1.0,10000
Graph+BGE vs Popularity,Recall@10,0.1598526084321116,0.14345851300349147,0.1770371629939963,1.0,10000
Graph+BGE vs Popularity,NDCG@10,0.1681406601455381,0.15290794018899742,0.1836282466488428,1.0,10000
Graph+BGE vs Popularity,MAP@10,0.162535318455875,0.14631675983026893,0.1792043962312213,1.0,10000
Graph+BGE vs Graph-only,Recall@5,0.1801361267944497,0.16256325558542617,0.19763535897752774,1.0,10000
Graph+BGE vs Graph-only,NDCG@5,0.1747381347934009,0.15803413971117777,0.1918088356915555,1.0,10000
Graph+BGE vs Graph-only,MAP@5,0.1639066756726331,0.14736428571428573,0.18114775976584488,1.0,10000
Graph+BGE vs Graph-only,Recall@10,0.16063657707175238,0.14459853058925057,0.17737195509809028,1.0,10000
Graph+BGE vs Graph-only,NDCG@10,0.1692265680794582,0.15400311752381673,0.18433945869269372,1.0,10000
Graph+BGE vs Graph-only,MAP@10,0.1637747295210628,0.14711923490192355,0.17988113663726965,1.0,10000
Graph+BGE vs BGE-only,Recall@5,0.31765534031840414,0.29011149884192367,0.3451774424245644,1.0,10000
Graph+BGE vs BGE-only,NDCG@5,0.3133015366966755,0.28802992073774025,0.3388627115558467,1.0,10000
Graph+BGE vs BGE-only,MAP@5,0.28387104581785433,0.2598867021276596,0.30787349150061916,1.0,10000
Graph+BGE vs BGE-only,Recall@10,0.3267781441398809,0.29752666858206833,0.35503799379301226,1.0,10000
Graph+BGE vs BGE-only,NDCG@10,0.31561634312598225,0.2904421663735066,0.3405211088974071,1.0,10000
Graph+BGE vs BGE-only,MAP@10,0.28612715049996135,0.26219695570956064,0.3097087474373967,1.0,10000
